Time , Signal value , Temperature , Humidity , Battery Voltage , Light Sensor Value 
00:23:30,29.77,78.7,0.0,9.16,off,0.0
00:23:32,29.78,78.71,0.0,9.36,off,0.0
00:23:34,29.77,78.74,0.0,8.93,off,0.0
00:23:36,29.77,78.71,0.0,8.72,off,0.0
00:23:38,29.76,78.72,0.0,8.84,off,0.0
00:24:24,29.75,78.84,0.0,9.76,off,0.0
00:24:26,29.76,78.84,0.0,9.56,off,0.0
00:24:27,29.75,78.89,0.0,9.07,off,0.0
00:24:29,29.73,78.86,0.0,8.67,off,0.0
00:24:31,29.75,78.91,0.0,8.9,off,0.0
00:24:33,29.75,79.01,0.0,9.01,off,1.4
00:24:34,29.75,79.11,0.0,9.04,off,1.68
00:24:36,29.75,79.11,0.0,9.13,off,1.68
00:24:38,29.74,79.06,0.0,9.65,off,1.68
00:24:40,29.76,79.1,0.0,9.01,off,1.68
00:24:41,29.74,79.1,0.0,8.49,off,1.68
00:24:43,29.78,79.11,0.0,8.61,off,1.68
00:24:44,29.74,79.09,0.0,8.78,off,1.68
00:24:46,29.74,79.08,0.0,9.97,off,1.68
00:24:47,29.74,79.06,0.0,9.94,off,1.68
00:24:49,29.76,79.04,0.0,8.87,off,1.68
00:24:51,29.72,79.05,0.0,8.78,off,1.68
00:24:54,29.75,79.0,0.0,8.72,off,1.68
00:24:56,29.75,79.0,0.0,8.72,off,1.68
00:24:57,29.73,78.97,0.0,8.87,off,1.68
00:26:35,29.75,78.81,0.0,9.53,off,1.68
00:26:36,29.72,78.82,0.0,9.42,off,1.68
00:26:38,29.69,78.83,0.0,9.24,off,1.68
00:26:40,29.73,78.84,0.0,9.27,off,1.68
00:26:41,29.7,78.88,0.0,9.27,off,1.68
00:26:47,29.73,78.87,0.0,9.56,off,1.68
00:26:48,29.72,78.87,0.0,9.36,off,1.68
00:26:50,29.71,78.87,0.0,9.24,off,1.68
00:26:52,29.7,78.87,0.0,9.01,off,1.68
00:26:53,29.71,78.88,0.0,8.2,off,1.68
00:26:55,29.7,78.89,0.0,8.87,off,1.68
00:26:57,29.71,78.93,5.11,8.98,off,1.68
00:26:59,29.71,78.95,5.11,9.07,off,1.68
00:27:00,29.7,78.93,5.12,9.07,off,1.68
00:27:02,29.7,79.0,0.0,9.3,off,1.68
00:27:03,29.72,79.05,0.0,8.96,off,1.68
00:27:05,29.72,79.04,0.0,9.16,off,1.68
00:27:06,29.7,79.03,0.0,9.01,off,1.68
00:27:08,29.69,79.02,0.0,9.13,off,1.68
00:27:10,29.72,79.03,0.0,9.01,off,1.68
00:27:12,29.72,79.0,0.0,9.13,off,1.68
00:27:14,29.68,78.93,0.0,9.04,off,1.68
00:27:15,29.71,78.94,0.0,8.78,off,1.68
00:27:17,29.69,78.91,0.0,8.72,off,1.68
00:27:24,29.69,78.86,0.0,9.53,off,1.68
00:27:26,29.69,78.88,0.0,9.53,off,1.68
00:27:28,29.68,78.91,0.0,9.59,off,1.68
00:27:30,29.68,78.92,0.0,9.56,off,1.68
00:27:32,29.71,78.94,0.0,9.56,off,1.68
00:27:34,29.69,78.92,0.0,9.59,off,1.68
00:27:35,29.68,78.96,0.0,9.33,off,1.68
00:27:37,29.69,78.95,0.0,9.5,off,1.68
00:27:38,29.68,78.95,0.0,9.39,off,1.68
00:27:40,29.68,78.97,0.0,9.39,off,1.68
00:27:42,29.68,78.99,0.0,9.36,off,1.68
00:27:44,29.68,78.97,0.0,9.48,off,1.68
00:27:46,29.69,78.99,0.0,9.5,off,1.68
00:27:48,29.66,78.99,0.0,9.5,off,1.68
00:27:50,29.68,78.99,0.0,9.56,off,1.68
00:27:52,29.69,79.02,0.0,9.62,off,1.68
00:27:54,29.7,79.02,0.0,9.36,off,1.68
00:27:56,29.68,79.02,0.0,9.88,off,1.68
00:27:58,29.68,79.0,0.0,9.42,off,1.68
00:28:00,29.67,79.03,0.0,8.9,off,1.68
00:28:02,29.68,79.04,0.0,8.9,off,1.68
00:28:03,29.65,79.04,0.0,9.3,off,1.68
00:28:06,29.67,79.06,0.0,9.27,off,1.68
00:28:08,29.68,79.04,0.0,9.39,off,1.68
00:28:09,29.68,79.07,0.0,9.42,off,1.68
00:28:11,29.68,79.05,0.0,9.3,off,1.68
00:28:13,29.69,79.07,0.0,9.24,off,1.68
00:28:14,29.65,79.07,0.0,9.19,off,1.68
00:28:16,29.66,79.09,0.0,9.13,off,1.68
00:28:17,29.67,79.09,0.0,8.72,off,1.68
00:28:19,29.67,79.11,0.0,8.96,off,1.68
00:28:20,29.67,79.1,0.0,8.98,off,1.68
00:28:22,29.68,79.09,0.0,8.96,off,1.68
00:28:24,29.65,79.1,0.0,8.93,off,1.68
00:28:26,29.67,79.13,0.0,8.87,off,1.68
00:28:27,29.67,79.15,0.0,8.87,off,1.68
00:28:29,29.67,79.1,0.0,8.96,off,1.68
00:28:31,29.65,79.07,0.0,9.3,off,1.68
00:28:33,29.65,79.05,0.0,9.65,off,1.68
00:28:35,29.67,79.06,0.0,9.79,off,1.68
00:28:37,29.67,79.05,0.0,9.65,off,1.68
00:28:38,29.66,79.09,0.0,9.42,off,1.68
00:28:40,29.67,79.13,0.0,9.48,off,1.68
00:28:41,29.67,79.12,0.0,9.71,off,1.68
00:28:43,29.68,79.14,0.0,9.65,off,1.68
00:28:45,29.64,79.14,0.0,9.76,off,1.68
00:28:46,29.67,79.17,0.0,9.71,off,1.68
00:28:47,29.67,79.16,0.0,9.76,off,1.68
00:28:49,29.65,79.19,0.0,9.68,off,1.68
00:28:50,29.67,79.19,0.0,9.65,off,1.68
00:28:52,29.67,79.22,0.0,8.93,off,1.68
00:28:54,29.67,79.19,0.0,8.78,off,1.68
00:28:56,29.66,79.23,0.0,8.81,off,1.68
00:28:57,29.67,79.21,0.0,8.78,off,1.68
00:28:59,29.64,79.23,0.0,8.61,off,1.68
00:29:01,29.64,79.22,0.0,9.22,off,1.68
00:29:02,29.64,79.23,0.0,8.69,off,1.68
00:29:04,29.65,79.21,0.0,8.67,off,1.68
00:29:06,29.66,79.17,0.0,8.72,off,1.68
00:29:08,29.65,79.19,0.0,8.67,off,1.68
00:29:09,29.64,79.18,0.0,8.67,off,1.68
00:29:11,29.64,79.18,0.0,8.69,off,1.68
00:29:13,29.65,79.21,0.0,8.72,off,1.68
00:29:15,29.65,79.24,0.0,8.72,off,1.68
00:29:17,29.68,79.24,0.0,8.81,off,1.68
00:29:18,29.65,79.26,0.0,8.67,off,1.68
00:29:20,29.66,79.2,0.0,8.69,off,1.68
00:29:22,29.64,79.23,0.0,8.67,off,1.68
00:29:24,29.67,79.23,0.0,8.61,off,1.68
00:29:25,29.67,79.2,0.0,8.67,off,1.68
00:29:27,29.63,79.19,0.0,8.72,off,1.68
00:29:29,29.66,79.19,0.0,8.72,off,1.68
00:29:31,29.66,79.21,0.0,8.69,off,1.68
00:29:33,29.68,79.19,0.0,8.72,off,1.68
00:29:34,29.66,79.17,0.0,8.81,off,1.68
00:29:36,29.65,79.17,0.0,9.59,off,1.68
00:29:38,29.67,79.17,0.0,9.76,off,1.68
00:29:40,29.66,79.17,0.0,9.76,off,1.68
00:29:42,29.67,79.16,0.0,9.36,off,1.68
00:29:43,29.65,79.15,0.0,9.24,off,1.68
00:29:44,29.65,79.15,0.0,9.19,off,1.68
00:29:46,29.65,79.17,0.0,9.19,off,1.68
00:29:47,29.65,79.15,0.0,8.9,off,1.68
00:29:49,29.65,79.17,0.0,8.84,off,1.68
00:29:50,29.64,79.11,0.0,8.78,off,1.68
00:29:52,29.65,79.17,0.0,8.96,off,1.68
00:29:53,29.65,79.17,0.0,9.19,off,1.68
00:29:55,29.64,79.14,0.0,9.19,off,1.68
00:29:57,29.63,79.15,0.0,9.36,off,1.68
00:29:58,29.66,79.14,0.0,10.14,off,1.68
00:29:59,29.68,79.15,0.0,10.17,off,1.68
00:30:02,29.67,79.12,0.0,8.67,off,1.68
00:30:03,29.65,79.11,0.0,8.72,off,1.68
00:30:04,29.64,79.11,0.0,8.81,off,1.68
00:30:06,29.67,79.12,0.0,8.78,off,1.68
00:30:07,29.64,79.12,0.0,8.72,off,1.68
00:30:09,29.65,79.14,0.0,8.67,off,1.68
00:30:11,29.65,79.13,0.0,8.72,off,1.68
00:30:13,29.64,79.15,0.0,8.96,off,1.68
00:30:14,29.68,79.15,0.0,9.39,off,1.68
00:30:15,29.63,79.12,0.0,9.94,off,1.68
00:30:17,29.63,79.16,0.0,9.16,off,1.68
00:30:18,29.63,79.15,0.0,8.87,off,1.68
00:30:19,29.64,79.16,0.0,8.84,off,1.68
00:30:21,29.64,79.15,0.0,8.84,off,1.68
00:30:23,29.64,79.15,0.0,8.72,off,1.68
00:30:24,29.65,79.15,0.0,8.78,off,1.68
00:30:26,29.65,79.14,0.0,8.87,off,1.68
00:30:28,29.65,79.15,0.0,8.67,off,1.68
00:30:30,29.64,79.12,0.0,8.87,off,1.68
00:30:32,29.66,79.15,0.0,8.72,off,1.68
00:30:34,29.64,79.14,0.0,8.81,off,1.68
00:30:35,29.64,79.15,0.0,8.87,off,1.68
00:30:37,29.63,79.12,0.0,8.93,off,1.68
00:30:39,29.64,79.12,0.0,8.78,off,1.68
00:30:41,29.65,79.1,0.0,8.84,off,1.68
00:30:42,29.63,79.11,0.0,8.96,off,1.68
00:30:44,29.64,79.11,0.0,8.93,off,1.68
00:30:46,29.63,79.12,0.0,9.07,off,1.68
00:30:47,29.63,79.14,0.0,9.3,off,1.68
00:30:49,29.65,79.13,0.0,8.69,off,1.68
00:30:50,29.64,79.15,0.0,8.67,off,1.68
00:30:52,29.64,79.16,0.0,8.67,off,1.68
00:30:54,29.66,79.16,0.0,8.61,off,1.68
00:30:56,29.63,79.16,0.0,8.78,off,1.68
00:30:58,29.63,79.17,0.0,8.84,off,1.68
00:33:14,29.57,79.6,0.0,8.93,off,1.68
00:33:16,29.58,79.63,0.0,8.78,off,1.68
00:33:18,29.6,79.62,0.0,8.9,off,1.68
00:33:20,29.58,79.66,0.0,8.96,off,1.68
00:33:22,29.54,79.65,0.0,8.72,off,1.68
00:33:23,29.59,79.69,0.0,8.93,off,1.68
00:33:25,29.52,79.67,0.0,8.72,off,1.68
00:33:26,29.55,79.7,0.0,8.87,off,1.68
00:33:28,29.55,79.71,0.0,8.9,off,1.68
00:33:30,29.58,79.72,0.0,8.87,off,1.68
00:33:32,29.57,79.73,0.0,8.72,off,1.68
00:33:33,29.57,79.72,0.0,8.9,off,1.68
00:33:35,29.57,79.76,0.0,9.04,off,1.68
00:33:37,29.57,79.76,0.0,8.9,off,1.68
00:33:39,29.56,79.76,0.0,8.84,off,1.68
00:33:41,29.55,79.78,0.0,8.98,off,1.68
00:33:42,29.56,79.77,0.0,9.07,off,1.68
00:33:44,29.56,79.77,0.0,9.04,off,1.68
00:33:46,29.54,79.77,0.0,8.78,off,1.68
00:33:48,29.56,79.76,0.0,8.9,off,1.68
00:33:50,29.57,79.79,0.0,8.9,off,1.68
